Geography_Code,Geography,lat,lng,geometry,L1-L3,L4-L6,L7,L8-9,L10-L11,L12,L13,L14,L15,id,amenity_pois_count
E00128268,Preston 013G,53.76691,-2.76466,"POLYGON ((-2.7594313959943997 53.76807301848375, -2.7593549285639107 53.76763999130929, -2.762428290453649 53.76715392614889, -2.76226364613467 53.766819424453516, -2.7632490534440564 53.766566596317254, -2.7630663790405556 53.76601614213756, -2.7647420338890103 53.76576724578148, -2.764208419675648 53.76505961662044, -2.76714072201262 53.76424536826124, -2.7668450427750217 53.76480628468518, -2.7674152171902664 53.765366917051246, -2.765198528773756 53.76571373710519, -2.764823065234901 53.76602789110297, -2.7650651449416874 53.76682629063759, -2.7669914670743725 53.76676385944681, -2.7671585059826307 53.76726546683914, -2.7647011784384397 53.767250225065354, -2.764869703743192 53.76783121918437, -2.7626326946891546 53.767683893537075, -2.7600926237828705 53.76790751473587, -2.760899787506447 53.769215709159106, -2.760405463283037 53.76957047533966, -2.7594313959943997 53.76807301848375))",19,50,38,30,24,31,31,22,23,121563,1
E00074245,Bristol 036B,51.44232,-2.6074,"POLYGON ((-2.6060403302806985 51.44291064807582, -2.6054748820013125 51.442491929290554, -2.6077605861316004 51.4416264918516, -2.608561205089293 51.441954426198485, -2.6088295809446995 51.442176233248674, -2.6087094050714503 51.442517191171994, -2.607355679938045 51.44306958630432, -2.607063725131518 51.44286211478254, -2.60777726803033 51.4425620061224, -2.607404003178709 51.44237734634574, -2.6060403302806985 51.44291064807582))",79,66,22,20,3,13,14,7,25,70027,0
E00058705,Leeds 032D,53.82646,-1.50505,"POLYGON ((-1.5039684310895152 53.82702029420765, -1.5054228148488513 53.82570168704682, -1.5061626425788597 53.826091217707756, -1.5045424493510307 53.827191702469406, -1.5039684310895152 53.82702029420765))",24,34,19,8,9,16,10,7,11,55353,0
E00028146,Rochdale 013A,53.6151,-2.11278,"POLYGON ((-2.110778248935814 53.614196795582274, -2.1118899097225987 53.61346722643346, -2.1124281764268886 53.61330382699805, -2.113706592167075 53.61429578989839, -2.1148019562090687 53.61452813945291, -2.113026208513798 53.61516315354174, -2.1131870764260285 53.61599283104904, -2.112069863325249 53.61601404538244, -2.1110327186317397 53.61539067344775, -2.112525791108647 53.615356639525146, -2.112126525173787 53.61498021025424, -2.112973793787528 53.61402215990845, -2.1122951954266176 53.614033096016904, -2.1123164476413026 53.61445056169345, -2.111610373916139 53.61483783476797, -2.110778248935814 53.614196795582274))",26,56,43,17,19,25,24,9,12,26329,0
E00013667,Islington 006D,51.55756,-0.09978,"POLYGON ((-0.0985634630021511 51.55825960796253, -0.0979827310653254 51.556943064141834, -0.0980204089251681 51.556720231194376, -0.0998127340203342 51.55702312088739, -0.1003322717592939 51.55684222571811, -0.100438517300023 51.55715642423074, -0.1008861445455757 51.55704587784809, -0.1014975735840106 51.55815860309345, -0.0993472035760445 51.558077243246956, -0.099384117731514 51.55836140148657, -0.0985634630021511 51.55825960796253))",119,116,29,39,8,20,13,36,36,12870,1
E00059499,Wakefield 031C,53.65772,-1.53635,"POLYGON ((-1.531630617446298 53.65933562307884, -1.5296856482536334 53.65747225300363, -1.5331326955573057 53.6558887459928, -1.53950454761426 53.65638973827817, -1.544087085247565 53.65559051879894, -1.5442456887445777 53.65587935754874, -1.5463779355170806 53.655662419502704, -1.546197705110035 53.65652027692925, -1.5470162966009122 53.65682229688671, -1.547069979570528 53.65738040956116, -1.5465185944867947 53.65726179124731, -1.5463618253794216 53.65750656805491, -1.5430100064664691 53.65727165002869, -1.54259971082415 53.65805717661349, -1.5413812931892519 53.65972695818418, -1.5412106726313817 53.65985974363294, -1.5358052258333361 53.65927303332859, -1.533835172166684 53.659535023240274, -1.5326562084704907 53.6594135921621, -1.5323120816060085 53.65907511798469, -1.531630617446298 53.65933562307884))",14,44,19,22,8,23,39,25,3,56094,0
E00047936,Birmingham 018C,52.54542,-1.83668,"POLYGON ((-1.8340452630487267 52.54520741713273, -1.837479131913447 52.54437157555292, -1.8387400441505588 52.54405789641793, -1.8393875199576806 52.5444951433726, -1.8396725730733416 52.54631814371386, -1.8387838648194095 52.54661138570976, -1.8370245536376595 52.546752142668524, -1.8358248308998555 52.54667202420171, -1.8341653388062817 52.54578357491573, -1.8340452630487267 52.54520741713273))",77,89,37,19,17,8,16,10,11,45129,0
E00099075,Chesterfield 011D,53.22124,-1.45405,"POLYGON ((-1.4515505327188798 53.22410949702419, -1.45174662044568 53.22351144766201, -1.4511882656253308 53.22296138080713, -1.452496984607489 53.22253021964047, -1.4516370035715893 53.221280157821056, -1.4507058426515504 53.22126215495561, -1.450291614906915 53.220814070833754, -1.452430147206602 53.220707404523964, -1.4573785949619003 53.219618128931394, -1.4580442715091615 53.220117238088335, -1.456262927017622 53.22024363020007, -1.4548508779536322 53.2206800233502, -1.454825494582729 53.22156245969103, -1.4544918775305518 53.22184520026671, -1.4548125397220892 53.22204030654478, -1.4553155068891777 53.22186497007616, -1.4553359243121209 53.22243637796126, -1.4549227849688753 53.22256820069401, -1.454069204406749 53.22213344694275, -1.4532446848136846 53.22284213276251, -1.454208428020378 53.22295440602365, -1.4542468097421601 53.2235266018724, -1.4547549156936888 53.223743240504675, -1.4542878951095455 53.2241159609195, -1.4536707497449521 53.223734179389886, -1.4520808324268624 53.22442549599834, -1.4515505327188798 53.22410949702419))",41,65,31,24,14,23,18,15,7,93674,0
E00126790,Chorley 002C,53.70017,-2.58458,"POLYGON ((-2.5640183549195954 53.69638030842788, -2.5629890907807438 53.69538895876554, -2.5615624307243574 53.69587038097996, -2.560052356179571 53.694279075094855, -2.560399613699446 53.69366174688795, -2.5597622989796016 53.69327441366062, -2.560216154119102 53.69290012389692, -2.5597295452615554 53.692726913226146, -2.557724103667725 53.693698102975354, -2.559236120638207 53.692030212242514, -2.563261704388594 53.69262902353862, -2.564060387280898 53.69225080442676, -2.566767756009154 53.69290089369632, -2.5687349341641137 53.69405269973358, -2.569314274226771 53.69553269568302, -2.5680955541636843 53.696163957760405, -2.573459560538304 53.699141971051574, -2.5760930116818406 53.69576305384835, -2.577864693196783 53.69513604458935, -2.578892014132531 53.695951933924874, -2.579518491680832 53.6965565449139, -2.582039730111223 53.69641932563843, -2.5842587161828314 53.6988569711528, -2.587788216963026 53.69820715015535, -2.590697495567905 53.69896750413856, -2.5929395204390757 53.69880698474273, -2.594791364879806 53.699144989793105, -2.5960342024026604 53.699871334335654, -2.5942846109346918 53.70080331176328, -2.58882480416714 53.70553113271018, -2.587282626954299 53.70840644105435, -2.5868897522814622 53.707857627531894, -2.5856315644668997 53.70742561060744, -2.5844267490116892 53.70749778454766, -2.583381209878734 53.706967803971, -2.5839810957316938 53.706425864854126, -2.582317091012783 53.7051259102483, -2.5812090489590487 53.70366114157637, -2.579195536520768 53.70236844795527, -2.578344544888026 53.702515249213945, -2.577817705417074 53.70196332619366, -2.57782643778414 53.700942561858874, -2.575894508993734 53.701793392244646, -2.572481013765042 53.699447822243975, -2.572781257582984 53.69928572169124, -2.570387413491578 53.698917952660764, -2.5670536099866634 53.6974611178135, -2.5668437730968887 53.6976949696237, -2.5648771131192794 53.69744303829575, -2.565170030362162 53.69680321258496, -2.5646168051523675 53.69631315019804, -2.5640183549195954 53.69638030842788))",86,84,47,43,12,24,13,8,17,120140,0
E00127226,Hyndburn 004F,53.75719,-2.36266,"POLYGON ((-2.3599898897588716 53.75787921545668, -2.359623319413725 53.75768173408982, -2.3610638493433025 53.75668658295876, -2.3617830237345414 53.75680412074794, -2.3616328852499864 53.75701493539385, -2.3627061308037938 53.756289242904515, -2.36334141361744 53.75622836941728, -2.3629427324555854 53.756181905273216, -2.363037311312069 53.755389976178016, -2.3622739119758718 53.75539162220908, -2.3627262605065913 53.75508465883092, -2.3622218360653973 53.754627793409114, -2.362934175304983 53.75424941444371, -2.3648293745867996 53.75581809840801, -2.365707808597653 53.75652848055925, -2.3631548110930622 53.75782905999332, -2.3620728429030398 53.75833128801376, -2.3619024828357604 53.75773632164484, -2.3608277756377207 53.75830812188247, -2.3599898897588716 53.75787921545668))",5,32,23,27,10,47,81,60,26,120554,0
