England and Wales Code,England and Wales,Distance travelled to work (8 categories) Code,Distance travelled to work (8 categories),Occupation (current) (105 categories) Code,Occupation (current) (105 categories),Observation
K04000001,England and Wales,2,5km to less than 10km,99,921 Elementary administration occupations,28914
K04000001,England and Wales,2,5km to less than 10km,100,922 Elementary cleaning occupations,96563
K04000001,England and Wales,2,5km to less than 10km,101,923 Elementary security occupations,37585
K04000001,England and Wales,2,5km to less than 10km,102,924 Elementary sales occupations,14410
K04000001,England and Wales,2,5km to less than 10km,103,925 Elementary storage occupations,117590
K04000001,England and Wales,2,5km to less than 10km,104,926 Other elementary services occupations,120854
K04000001,England and Wales,3,10km to less than 30km,-8,Does not apply,0
K04000001,England and Wales,3,10km to less than 30km,1,111 Chief executives and senior officials,8239
K04000001,England and Wales,3,10km to less than 30km,2,112 Production managers and directors,92547
K04000001,England and Wales,3,10km to less than 30km,3,113 Functional managers and directors,81082
K04000001,England and Wales,3,10km to less than 30km,4,"114 Directors in logistics, warehousing and transport",2116
K04000001,England and Wales,3,10km to less than 30km,5,115 Managers and directors in retail and wholesale,98862
K04000001,England and Wales,3,10km to less than 30km,6,116 Senior officers in protective services,7685
K04000001,England and Wales,3,10km to less than 30km,7,117 Health and social services managers and directors,19942
K04000001,England and Wales,3,10km to less than 30km,8,121 Managers and proprietors in agriculture related services,5243
K04000001,England and Wales,3,10km to less than 30km,9,122 Managers and proprietors in hospitality and leisure services,49425
K04000001,England and Wales,3,10km to less than 30km,10,123 Managers and proprietors in health and care services,18699
K04000001,England and Wales,3,10km to less than 30km,11,"124 Managers in logistics, warehousing and transport",37149
K04000001,England and Wales,3,10km to less than 30km,12,125 Managers and proprietors in other services,61774
K04000001,England and Wales,3,10km to less than 30km,13,211 Natural and social science professionals,19894
K04000001,England and Wales,3,10km to less than 30km,14,212 Engineering professionals,55011
K04000001,England and Wales,3,10km to less than 30km,15,213 Information technology professionals,33331
K04000001,England and Wales,3,10km to less than 30km,16,214 Web and multimedia design professionals,5360
K04000001,England and Wales,3,10km to less than 30km,17,215 Conservation and environment professionals,2810
K04000001,England and Wales,3,10km to less than 30km,18,216 Research and development (R&D) and other research professionals,7253
K04000001,England and Wales,3,10km to less than 30km,19,221 Medical practitioners,67784
K04000001,England and Wales,3,10km to less than 30km,20,222 Therapy professionals,35368
K04000001,England and Wales,3,10km to less than 30km,21,223 Nursing and midwifery professionals,161652
K04000001,England and Wales,3,10km to less than 30km,22,224 Veterinarians,5719
K04000001,England and Wales,3,10km to less than 30km,23,225 Other health professionals,56716
K04000001,England and Wales,3,10km to less than 30km,24,231 Teaching and other educational professionals,233533
K04000001,England and Wales,3,10km to less than 30km,25,232 Other educational professionals,37969
K04000001,England and Wales,3,10km to less than 30km,26,241 Legal professionals,18380
K04000001,England and Wales,3,10km to less than 30km,27,242 Finance professionals,28393
K04000001,England and Wales,3,10km to less than 30km,28,"243 Business, research and administrative professionals",18061
K04000001,England and Wales,3,10km to less than 30km,29,244 Business and financial project management professionals,13335
K04000001,England and Wales,3,10km to less than 30km,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",21726
K04000001,England and Wales,3,10km to less than 30km,31,246 Welfare professionals,18464
K04000001,England and Wales,3,10km to less than 30km,32,247 Librarians and related professionals,2563
K04000001,England and Wales,3,10km to less than 30km,33,248 Quality and regulatory professionals,15937
K04000001,England and Wales,3,10km to less than 30km,34,249 Media professionals,6008
K04000001,England and Wales,3,10km to less than 30km,35,"311 Science, engineering and production technicians",55013
K04000001,England and Wales,3,10km to less than 30km,36,"312 CAD, drawing and architectural technicians",5661
K04000001,England and Wales,3,10km to less than 30km,37,313 Information technology technicians,22364
K04000001,England and Wales,3,10km to less than 30km,38,321 Health associate professionals,21276
